T,Key,Summary,Status,DPT,Estimate,Final,Delta,Points,Tickets
Epic,PM-2328,SPIKE: Performance Testing Suggestions,Closed,DAG,10.00,10.00,0.00,2,22
Epic,PM-2318,Reduce  Volume of Generator Tasks,Closed,DAG,4.00,5.00,1.00,14,12
Epic,PM-2150,Pre-compiled headers: Do the science,Closed,SDP,5.00,6.00,1.00,0,22
Epic,PM-2079,Tag BFG severity during analysis,Resolved,DAG,4.00,2.00,-2.00,14,10
Epic,PM-2055,Standardize Performance Data Ingestion,Closed,TIPS,6.00,17.00,11.00,37,26
Epic,PM-2045,Splunk Custom Builds in Evergreen Without Direct Dependence on RHEL 5.5,Closed,Build,4.00,2.00,-2.00,5,3
Epic,PM-2044,Expose Performance Data for Self-Service Use ,Closed,TIPS,3.00,3.00,0.00,6,6
Epic,PM-2010,Use host.create for Powercycle,Closed,STM,4.00,22.00,18.00,49,33
Epic,PM-2009,Auto Revert Consistent Failures,Resolved,DAG,16.00,21.00,5.00,58,45
Epic,PM-2003,Improve Amboy job submission,Closed,Evergreen,12.00,13.00,1.00,101,50
Epic,PM-1999,Commit queue multiple execution,Closed,Evergreen,12.00,9.00,-3.00,58,31
Epic,PM-1904,Evergreen.yml Cleanup,Closed,STM,12.00,13.00,1.00,29,26
Epic,PM-1877,5.0 Platform Support/Roadmap,Closed,Build,12.00,8.00,-4.00,49,47
Epic,PM-1853,Shift To New Release Versions And Cadence,Resolved,Evergreen,8.00,10.00,2.00,67,25
Epic,PM-1850,Publicly document the build system,Closed,SDP,12.00,4.00,-8.00,0,6
Epic,PM-1848,Evergreen task annotations,Closed,Evergreen,8.00,13.00,5.00,103,50
Epic,PM-1843,Virtual Workstation Management UI,Resolved,Evergreen,8.00,21.00,13.00,62,50
Epic,PM-1841,BF Matching Fine Tuning,Closed,DAG,8.00,15.00,7.00,41,22
Epic,PM-1840,Performance UI to React,Closed,TIPS,36.00,28.00,-8.00,72,40
Epic,PM-1822,DSI Improvements,Closed,STM,14.00,28.00,14.00,77,50
Epic,PM-1821,Extend existing workloads to run during maintenance events,Resolved,STM,12.00,28.00,16.00,32,29
Epic,PM-1800,BF Matching for Patch Builds,Resolved,DAG,12.00,20.00,8.00,31,19
Epic,PM-1745,POC MacOS Containers,Closed,Build,8.00,7.00,-1.00,4,4
Epic,PM-1642,Refactor the agent to improve deploys,Closed,Evergreen,8.00,4.00,-4.00,25,13
Epic,PM-1607,Move test results to Cedar,Closed,Evergreen,8.00,21.00,13.00,91,50
Epic,PM-1436,Migrate off brocade load balancer,Closed,Build,10.00,30.00,20.00,112,46
Epic,PM-1433,Parameterized Builds,Closed,Evergreen,4.00,6.00,2.00,25,14
Epic,PM-1095,Performance Patch Build Usability Improvements,Resolved,TIPS,20.00,59.00,39.00,67,42
Epic,PM-847,Make the --link-model=dynamic build work as well as the static build,Closed,SDP,16.00,21.00,5.00,0,22
Epic,PM-382,Add TSAN and MSAN,Closed,SDP,10.00,14.00,4.00,0,15
Epic,PM-2001,Support multiple project configuration files,Closed,Evergreen,4.00,6.00,2.00,37,16
Epic,PM-1603,Inter-project dependencies for patch builds,Closed,Evergreen,8,20,12,121,50
Epic,PM-1666,C++20 Ready Build,Closed,SDP,6,6,0,0,17
Epic,PM-1849,Run all JS tests and unit tests with UndoDB in Evergreen,Closed,STM,16,21,5,32,19
Epic,PM-2161,Performance Analysis Onboarding Documentation,Closed,TIPS,4,10,6,21,13
Epic,PM-1977,MacOS Notarization as a service,Closed,Build,8,22,14,118,50
Epic,PM-1554,Improved infrastructure monitoring,Closed,Build,12,17,5,71,45